date,time,DOY,TimeStamp,CH4
4/14/2017,1:30,104.062,4/14/2017 1:30,-1.991947067
4/14/2017,2:00,104.083,4/14/2017 2:00,5.995300274
4/14/2017,2:30,104.104,4/14/2017 2:30,5.074258402
4/14/2017,3:00,104.124,4/14/2017 3:00,0.513236491
4/14/2017,3:30,104.145,4/14/2017 3:30,NaN
4/14/2017,4:00,104.166,4/14/2017 4:00,NaN
4/14/2017,4:30,104.187,4/14/2017 4:30,4.182259579
4/14/2017,5:00,104.208,4/14/2017 5:00,-5.717797981
4/14/2017,5:30,104.229,4/14/2017 5:30,6.367903531
4/14/2017,6:00,104.249,4/14/2017 6:00,NaN
4/14/2017,6:30,104.27,4/14/2017 6:30,1.983323399
4/14/2017,7:00,104.291,4/14/2017 7:00,7.765194429
4/14/2017,7:30,104.312,4/14/2017 7:30,NaN
4/14/2017,8:00,104.333,4/14/2017 8:00,NaN
4/14/2017,8:30,104.354,4/14/2017 8:30,10.21597502
4/14/2017,9:00,104.374,4/14/2017 9:00,12.0734223
4/14/2017,9:30,104.395,4/14/2017 9:30,22.48822023
4/14/2017,10:00,104.416,4/14/2017 10:00,19.26178045
4/14/2017,10:30,104.437,4/14/2017 10:30,NaN
4/14/2017,11:00,104.458,4/14/2017 11:00,NaN
4/14/2017,11:30,104.479,4/14/2017 11:30,NaN
4/14/2017,12:00,104.499,4/14/2017 12:00,NaN
4/14/2017,12:30,104.52,4/14/2017 12:30,NaN
4/14/2017,13:00,104.541,4/14/2017 13:00,NaN
4/14/2017,13:30,104.562,4/14/2017 13:30,NaN
4/14/2017,14:00,104.583,4/14/2017 14:00,NaN
4/14/2017,14:30,104.604,4/14/2017 14:30,NaN
4/14/2017,15:00,104.624,4/14/2017 15:00,NaN
4/14/2017,15:30,104.645,4/14/2017 15:30,NaN
4/14/2017,16:00,104.666,4/14/2017 16:00,NaN
4/14/2017,16:30,104.687,4/14/2017 16:30,NaN
4/14/2017,17:00,104.708,4/14/2017 17:00,NaN
4/14/2017,17:30,104.729,4/14/2017 17:30,6.293499168
4/14/2017,18:00,104.749,4/14/2017 18:00,19.35036455
4/14/2017,18:30,104.77,4/14/2017 18:30,NaN
4/14/2017,19:00,104.791,4/14/2017 19:00,7.427306583
4/14/2017,19:30,104.812,4/14/2017 19:30,-18.20826341
4/14/2017,20:00,104.833,4/14/2017 20:00,NaN
4/14/2017,20:30,104.854,4/14/2017 20:30,-48.0122224
4/14/2017,21:00,104.874,4/14/2017 21:00,72.66992334
